,id,lonlat,tags.power,tags.structure,Type,Country
150,8668408903.0,"[-12.229815100000064, 8.74070409999998]",tower,,Node,sierra-leone
151,7865557373.0,"[-11.929205999999922, 9.312837899999943]",tower,,Node,sierra-leone
152,7865557363.0,"[-11.952457799999923, 9.285516099999942]",tower,,Node,sierra-leone
153,1872320623.0,"[-12.923668999999883, 8.399704799999977]",tower,,Node,sierra-leone
154,3166189759.0,"[-12.792886300000006, 8.495454899999999]",tower,,Node,sierra-leone
155,3564976696.0,"[-11.790444400000004, 9.016260800000014]",tower,,Node,sierra-leone
156,7657398876.0,"[-11.789218799999935, 9.035257100000038]",tower,,Node,sierra-leone
157,1872320495.0,"[-13.126351599999882, 8.365425199999974]",tower,,Node,sierra-leone
158,2179090529.0,"[-13.026006899999988, 8.329281900000007]",tower,,Node,sierra-leone
159,1872320693.0,"[-12.866505599999885, 8.437063299999977]",tower,,Node,sierra-leone
160,7865558786.0,"[-11.876006599999922, 9.307576499999943]",tower,,Node,sierra-leone
161,7865532174.0,"[-11.964422199999925, 9.209693099999942]",tower,,Node,sierra-leone
162,1872320703.0,"[-13.211493299999885, 8.437473999999977]",tower,,Node,sierra-leone
163,2088169866.0,"[-12.054960799999995, 8.8838623]",tower,,Node,sierra-leone
164,7865532160.0,"[-11.961664199999928, 9.23048779999994]",tower,,Node,sierra-leone
165,7865532167.0,"[-11.963877499999926, 9.25745929999994]",tower,,Node,sierra-leone
166,3564382704.0,"[-11.779943600000012, 9.025438800000021]",tower,,Node,sierra-leone
167,8668408906.0,"[-12.233076700000064, 8.73377939999998]",tower,,Node,sierra-leone
168,2178168405.0,"[-12.423207899999987, 8.781562400000004]",tower,,Node,sierra-leone
169,2179080509.0,"[-11.958878799999985, 8.947735200000002]",tower,,Node,sierra-leone
170,2457528297.0,"[-12.031201100000013, 8.903972900000062]",tower,,Node,sierra-leone
171,3869420855.0,"[-12.986887600000165, 8.340485799999854]",tower,,Node,sierra-leone
172,6533607297.0,"[-12.832894800000034, 8.460899100000034]",tower,,Node,sierra-leone
173,3116037439.0,"[-13.250879799999998, 8.468494399999994]",tower,,Node,sierra-leone
174,7865532166.0,"[-11.963007199999925, 9.253329199999941]",tower,,Node,sierra-leone
175,7865557366.0,"[-11.942263099999922, 9.304127299999942]",tower,,Node,sierra-leone
176,1872356849.0,"[-13.129362099999883, 8.368000599999975]",tower,,Node,sierra-leone
177,2088169875.0,"[-12.092625399999994, 8.885472800000002]",tower,,Node,sierra-leone
178,2088169833.0,"[-12.106193899999996, 8.879349200000002]",tower,,Node,sierra-leone
179,7865558792.0,"[-11.857673999999921, 9.306454199999942]",tower,,Node,sierra-leone
180,2088169771.0,"[-12.1724258, 8.842165900000003]",tower,,Node,sierra-leone
181,1872320559.0,"[-12.93365329999988, 8.390332499999973]",tower,,Node,sierra-leone
182,2178178120.0,"[-11.839572399999986, 8.994301400000001]",tower,,Node,sierra-leone
183,1983090552.0,"[-12.530143499999987, 8.69620240000001]",tower,,Node,sierra-leone
